Job_title ; location ; Salary ; company ; Description 
C# .Net Software Engineer;Old Trafford, M5 3EA;Up to £45,000 per annum plus excellent benefits package;First Central Insurance & Technology Group;Were First Central Insurance & Technology Group (First Centralfor short), an award-winning innovative insurance and technology organisation, delivering market-leading motor insurance, underwriting, distribution, finance, technology and legal services.? Were on the hunt for a talentedSoftware Engineerto join ourTechnologyteam inSalford Quays, Manchester. In this role you will use your C# .NET experience to work within a Scrum team to help build and support the companys bespoke application environment. You will need to be highly proficient in C# but also have good working knowledge of HTML, CSS &JavaScript, knowledge of a SPA language (preferably Angular) and have a good understanding of SQL. * Strong C# knowledge and experience. * Experience using the Angular platform. * Significant exposure to SQL. * Work within a Scrum team across the full development stack.
Applications Engineer;Burnley, Lancashire;Up to £45000.00 per annum;Morgan Ryder Associates Limited;Salary£45k Hybrid Working 2 days in the office- candidate must live within the North West of England This is an exciting opportunity for mechanically biased applications Engineer to come and join a forward-thinking renowned organisation. Long established this PROFITABLE company manufacturers technically advanced products which are supplied into a wide range of industry sectors including food manufacturing, chemical, automotive, aerospace and petrochemical * Providing technical applications assistance to field sales and product managers * Works closely with the Sales Teams and joins in customer visits to talk through the technical features and benefits
Embedded Software Engineer;Tower 2000 Business Park, M20 2UR;£45 - £50 per hour;KO2 Embedded Recruitment Solutions LTD;Location of work: Fully Remote IR35 status: Outside IR35 The Project: An Embedded Software Engineer is required for a new automotive diagnostic tool development which is built into electric vehicles. The tool is specifically focussed on monitoring various parameters when the vehicle is EV charging to ensure safety and efficiency. This development is for one of the largest automotive manufacturers in the world. You will be joining the project at the early stages of development, on a brand-new project team of seven Software Engineers. For this role you should be a confident Real Time Embedded C programmer who has RTOS or Bare Metal development experience. You should have experience programming software to safety coding guidelines such as MISRA. This is an opportunity to work on an exciting new firmware development in one of the fastest growing industry sectors.
Senior Embedded Software Engineer;M1, Manchester;£60000 - £90000 per annum;Sanderson Recruitment;Full Time - Permanent £60,000 - £90,000 Manchester - Hybrid A new and exclusive opportunity to join an innovative and established energy management solutions company as a Senior Embedded Software Engineer. * Design and write software for an embedded product * Coach and mentor junior members of the team Requirements * Significant embedded C or C++ software development * Experience programming on an RTOS and working with microcontrollers If you have the experience to take on this role, apply today or get in touch with me.
Cloud Software Developer career programme Jan 23;Audenshaw, SK14 2BN;£24k to £24k;Capita;Discover better with a career in technology Part of Capita Plc, Novus is a skills development and career programme provider, that closes the ever-evolving technology skills gap between organisations and the future of work. Our employees combine our talent, creativity, and innovation to deliver business critical services and solutions for our clients. We create better outcomes This is our purpose and it defines our very existence. We provide an inclusive and diverse environment for our people to thrive, develop and realise their true potential. Whoever you are and whatever your background, we want you to be yourself. Were growing future leaders Our Novus programmes are designed to help you gain professional experience and develop your skillset. Well challenge you to think differently, solve problems with creativity and to push yourself while expanding your horizons.
Lead Software Engineer;UK;£55,000 per annum;Sopra Steria Limited;Contract type:Full time permanent Location:UK Remote Security Clearance Level:must be eligible for NPPV3 Internal Recruiter:Josh Huggins-Smith Salary:£55k Benefits:£5,400 car allowance, 25 days annual leave with the option to buy additional days, private medical, life assurance, pension, and generous flexible benefits fund. Are you a Software Developer that has experience in designing complex software? Our team is growing and we require a Software Developer to join our established STORM Development team to support the Police with theirEmergency Services Command and Control - STORM system. The STORM Application is implemented as a VB.Net multi-layered architecture with a control room client written in WPF.
Software Engineer - PHP / JavaScript - Remote;Liverpool, Merseyside;£30000 - £60000 per annum + Remote work - Flexible working;Oscar Associates (UK) Limited;Software Engineer - PHP / JavaScript | £60,000 | Sports Brand | Full Remote The main focus of this role will be the maintenance and optimisation of the PHP & JavaScript applications on MySQL databases. You'll also get involved in improving the system's interfaces, services and applications which are used globally. You will be responsible for modernizing the current products and updating the tech stack. We are looking for experienced Developers who enjoy knowledge sharing and researching emerging technology trends. * Backend: PHP, ideally MVC framework experience * Frontend: JavaScript, ideally frameworks such as ReactJS * AWS * SQL databases One UK's of leading sports labels with a growing presence in Europe, Asia and the US.
Software Developer;Knott Mill, M1;£40000 - £42500 per annum;Amber Resourcing;Mid Software Developer | £40,000 Basic | Manchester - Hybrid The Company My client are currently in their growth phase. They have 7 offices across the UK, but are currently hiring for their Manchester office. They provide a variety of SaaS technology such as mobile working software, analytics, organisation software, scheduling, Insights and a variety of others. Selling to the government, NHS, Housing, Infrastructure, logistics and emergency services. This SaaS software helps save time, money, allow companies to be more organised, effective, and improves the lives of the employees, including their wellness. They provide a highly technical environment, with flexible working, progression opportunities, and a good training environment. There are probably 4 main reasons to join. Modern Tech, good training, varied work (they have a plethora of software) & progression.
Software Developer;Lower Newlands, HD6;£24000 - £36000 per annum;Applause IT Limited;Location: Fully Remote Salary: Up to £36,000 (depending on experience) Applause IT are hiring for a Software developer who has commercial experience using C# and SQL (or other appropriate programming languages). Applause IT are looking for the right software developer to join a company who are expanding into the legal sector and wanting to find someone who can design, implement, and test code while also writing reports and fixing bugs. * Knowledge of C# * SQL (or other appropriate language) experience * Version control software knowledge e.g., GIT. * Minimum 1-year commercial experience If you think you would be suitable for this role or would like to learn more about the role, then APPLY NOW! By calling me on 07935569749 or email me on
Embedded Software Engineer;Warrington, Cheshire;From £60,000 to £80,000 per annum Plus shares/equity plus pension etc;ChilliFrog Ltd;JOB OVERVIEW; Embedded Software Engineer / Java Card Developer / Embedded Firmware Engineer sought by pioneering hyper-growth mobile software & services technology company. CONTRACT TYPE; Permanent employment contract SALARY / RATE; Negotiable depending on ability and experience c£60K-£80Kplus shares/equity plus comprehensive staff benefits package. LOCATION; You may work remotely for up to 4 days a week but you MUST attend my client's office in Warrington / Manchester area at least 1 day a week so you should reside within commuting distance of Warrington / Manchester. THE COMPANY; My client is a pioneering global bleeding-edge software company within the mobile communications space who are about to receive VC funding to help them grow exponentially next year. They provide software solutions which help mobile network operators optimise their service & coverage.
Backend Software Engineer Java - Finance;City Centre, M1;£90000 - £110000 per annum + bonus + benefits;CSR Dev FEOSJava;Backend Software Engineer Manchester / WFH to £110k Backend Software Engineer / Developer *Hybrid WfH*. Are you a Java Developer with financial systems experience seeking a new role where you can apply and develop your skills? You could be joining a City based trading firm, working on complex and interesting systems and progressing your career. As a Backend Software Engineer you will design and develop Pricing & Risk systems across multiple asset classes (Equities, FX, Commodities), creating and maintaining server side Java components which support a highly scalable, mission critical real-time financial trading platform. Youll partner closely with Front Office users to address any issues, utilising your understanding of the nature of the trading floor business and the need to respond quickly and efficiently to issues that can (or have) caused business outage.
Senior Software Engineer - (IOS);Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The BBC Mobile Platform, part of Media Services, is an integral part of the BBC's digital-first strategy, delivering consistent user experiences and core functionality across the BBC's mobile estate. As a Senior Software Engineer within Mobile Playback, you'll be joining a team of engineers developing our Media Player components, the core playback engine of all video and audio content across the BBC online. The BBC is recognised throughout the world for the quality of the content that we produce and the programmes that we broadcast. We are looking for high calibre developers with a passion for technology to help us transform the experience for our audience when consuming media in the digital age. The media components we build are right at the heart of the BBC's best loved products including iPlayer, Sounds, News and Sport to name just a few.
Senior Software Engineer (iOS)- Sounds;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The BBC Sounds team has been tasked with shaping the future of audio at the BBC. Our mobile app brings together our live and on demand radio, music and podcasts into a single personalised experience. We're looking for engineers with a strong foundation in the iOS platform and an understanding of clean architecture, and test-driven development, to help us make the best audio listening app in the world. We are a small, self-organising and highly collaborative team of engineers, testers, UX designers and product owners. We value our engineers, offering regular training and development opportunities, as well as '10% time' - allowing dedicated time for self-improvement, learning and innovation. We take the time to reflect and improve on how we're working through team retrospectives and mentoring.
Software Developer;East Bowling, BD4 6SG;Unspecified;Advanced Supply Chain;Are you an experienced Software Developer who has proven experience in developing and building in-house developed solutions. Advanced are looking to appoint a new Software Developer within the skilled IT team to help enhance our industry leading warehouse and transport software solutions using .NET and SQL Server as well as supporting and enhancing a small number of legacy systems. Our Software Developer will work alongside are current team as well our Head of Information Systems to develop software in a structured fashion in line with existing standards. This is a full-time permanent job opportunity working at our Bradford site with the opportunity to also work remotely a few days a week. You will receive a highly competitive and rewarding salary.
Junior Software Engineer - SQL;Dane Road Ind Est, M33 7FT;£35000 - £45000 per annum + + 10% Bonus + Benefits;The People Pod;Are you the ideal Software Engineer? A Software Developer who has graduated in a computer related subject or have proven senior developer experience or even application development experience. The ideal Software Engineer will thrive in a supportive and friendly working environment and will have stretch to move in to bigger Developer roles with time. (10% Bonus & an incredible Pension) Due to expansion an opportunity exists for a high calibre Software Engineer that is keen to fuel their career with a TOP Global business contender. Based out of their European Head Office in the North West or Working From Home we are now seeking a Software Engineer. (SQL, J Script, VB) What does the ideal Software developer need? Key skills include; *VB *.NET *Java Script *Oracle or SQL server Advanced *Visual studio 2005 - Advanced *Microsoft project - Basic
eCommerce Backend Software Engineer (TypeScript, Nodejs);M1, Manchester;Up to £115,000 per annum excellent salaries, bonus, bens;Staffworx Limited;eCommerce Software Engineers from typescript/node javascript backgrounds Staffworx are hiring for eCommerce Software Engineers from typescript/node javascript backgrounds, you'll be working with major online retail and direct to customer consumer products clients on latest microservices ecommerce software solutions. The Role Excellent opportunity to work with the World's leading online commerce customers in leading agile commerce development team, developing dynamic, enterprise-level applications and integrating with multiple systems using a test-driven approach. Implement and deploy commerce applications that leverage a variety of third-party APIs to be used by many different types of rich client applications. Full stack with backend focus using Nodejs. Docker and container orchestration engines such as Kubernetes for application deployment. DevOps culture Essential
Software Development Apprenticeship;HD9, Holmfirth, HD9 6QZ;£14,000 per annum;Baltic Training Services;If youre wanting to work for a small but supportive ever-growing Software company that offers progression opportunities and social events, With Support has the role for you! Not only will you be joining a team of experts, but you will also be gaining hands-on experience with various tasks including coding for websites, using PHP, and website support. You will work alongside a team of 5 other employees, meaning there is plenty of support to help you successfully pass the Apprenticeship programme. With Support, have been trading since 2005 and provide a professional and commercial open-source support service. In this role, youll work towards your Level 3 Software Development Technician qualification, delivered by our expert training team at Baltic Apprenticeships. * Designing websites * Coding for websites * Using PHP coding language * Website support
Software Developer / DevOps Engineer;Lower Walton, WA4 6HL;Competitive with great benefits;Risktec Solutions Ltd;Reporting to the Principal Engineer of the Risk Management Team Background Risktec Solutions is an established, independent and specialist risk management consulting and training company, and is part of the TV Rheinland Group. We help clients manage health, safety, security, environmental and business risk in sectors where the impact of loss is significant. Our people are high caliber professionals, with a strong focus on meeting clients' expectations and we have offices across the UK and in the Netherlands, Dubai, Muscat, Houston and Calgary. Further information is available at Role Description Due to a growing requirement for our bespoke software we've created this varied and challenging role in order to help drive forward Risktec's risk management consulting services in a number of key business areas. About you
Software Design Engineer;UK;£70,000 per annum;Sopra Steria Limited;We are looking for an experienced AWS DevOps Engineer/Service Developer to join our Defence Sector newly established Cloud Team. You will work within a growing cloud team looking to build on and maintain cloud infrastructure and Cloud Native Software. You should be capable of building and assembling software solutions using the current AWS full stack services. You will work closely within agile based team including Data and Business Intelligence, Customization and UI, Business Analysts * Manage AWS Console Access and Administration * Build and manage VPC Environments that cover Sandbox, DEV, Test, Production, Training, Support. * Select and develop AWS Services that meet client requirements. In conjunction with the wider Agile team plan CI/CD piplines * Ensure the smooth operation of the AWS infrastructure
Applications Engineer;Bradshaw Trading Estate, M24;£35k - 37k per year;Omega Resource Group;Role: Applications Engineer Location: Manchester/Oldham Basis: Permanent Industry: Engineering, Oil & Gas, Chemical Equipment Salary: £35,000 - £37,000 My Client is a world leader in the provision of highly technical industrial technology destined for the chemical processing, Oil & Gas and water treatment industries. They are currently looking to appoint an additional Applications Engineer to support commercial and technical aspects at the bid and proposals stage of a project. You can expect to be working in a busy ‘Manufacture to Order’ environment where you will be able to liaise closely with internal engineers and sales persons as well as clients across Oil and Gas and Chemical Processing industries. You will need to possess a strong combination of commercial acumen and technical knowledge and may well come from a Sales Engineering background.
Junior Software Developer Apprentice;Euxton, PR7 6TE;£15000 per year;QA Ltd;The company is a leading supplier of case management software for leading law firms. They deliver a Cloud Hosted system that had been adopted by many major law firms in both the UK and Internationally. They have been delivering their services since the 1970's and are ahead of the market and have recently updated their product and added multi-currency and multi-entity functionality. As they continue to grow their client base and client retention through the quality of both software and the support that goes along side this, they are looking for a motivated Level 3 Junior Software Developer Apprentice to support them in cementing their longstanding and future UK presence whilst also supporting expansion into the legal market overseas. * Work with the development team on existing and new projects.
Java Software Engineer;Manchester, Greater Manchester;£40k - 45k per year;ECOM Manchester;A bit about the company By combining all components of various operations and content services into a unified, automated workflow, this company serves the entertainment industry globally with innovative, autonomous software solutions and content services. Team and Job Purpose To create creative solutions, the company encourages employees to share their ideas and works inclusively and collaboratively as one huge team. We recognise the significance of everyone’s skills and the contributions they make to the company, providing them with the drive and resources they need to succeed. Software developers are seen by the corporation as more than just programmers who may collaborate with other team members to enhance the digital entertainment experience. Duties and Responsibilities Do not expect to be a screw in a big machine.
Graduate Software Developer;M23, Manchester;From £20,000 to £25,000 per annum dependant on experience;Medicines Evaluation Unit;Were offering A stimulating and rewarding career pathway for a driven individual looking to become involved in the development of tomorrows medicines, in a successful MHRA Phase I Accredited Unit with an international reputation. The role.. We are looking for a talented graduate to support our company's continued growth. This is a great opportunity to be part of an exciting business, to learn new skills and capabilities and to develop a rewarding and fulfilling IT professional career. We are recruiting a Graduate Software Developers with C# and SQL skills to work in a growing department within the organisation. This position is fully site based. C# .NET Core JavaScript, jQuery, Bootstrap HTML5 + CSS3 Web services Microsoft Azure Mobile development Logical, problem solving mind Strong inter-personal skills
Software Developer;M33, Sale;£40,000 per annum Co pension, 20 days hol+Bank holidays and Christmas;Tina Lacey Recruitment Ltd;Sale, Manchester Permanent Full Time early finish Friday up to £40k dep on experience plus Company pension, 20 days hol+Bank holidays and Christmas shut down, medical insurance Since 1984 our well established client has specialised in developing case management softwareto UK government funded organisations such as local authorities, private trainingorganisations and companies who specialise in apprenticeship training and getting peopleback into work UK wide. Theypride themselveson their customer focused approach which has been the key their continued successover the last 35 years, building customer relationships lasting over 20years and a strong and stable solution which is proven time and again to work from theground up. Responsibilities and Duties
C# Software Developer;Manchester, Greater Manchester;£50000 - £70000 per annum;KO2 Embedded Recruitment Solutions LTD;Position: C# Software Developer Salary: Up to £70,000 Location of office: Manchester Location of work: Fully Remote Working Available KO2 are proud to be working with a business who are determined to contribute to a safe, low carbon economy, and need a passionate C# Developer to help them realise these aims. The C# Developer will be joining a team responsible for creating the platform which makes the businesses ideas come to life for their customers who are 1 in 20 non-residential buildings across the UK. The world needs to reduce energy consumption and carbon emissions, and this is why this project is so important and exciting for a C# Developer. * Design, build and maintain efficient, reusable, and reliable C# code for our next generation technology platform. * Translate both customer and product level requirements into functional applications.
Junior / Graduate C# Software Developer;M1, Manchester;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global;C# Software Developers work closely with other developers, product managers, designers, business analysts and testers to create, maintain and modify systems to meet the demands of the business and their stakeholders. Become a Junior / Graduate C# Software Developer today! What You'll do. If you get a thrill from problem solving - and aren't easily disheartened when things don't work - software development is the career for you. * Help our clients to champion software excellence and improve delivery and service * Embrace agile best practices and Continuous Delivery * Support software development projects, creating new features, while also maintaining high standards for code quality * Test your creativity daily as you experiment and explore different approaches to problem solving
Junior / Graduate Java Software Developer;M1, Manchester;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global;Java Software Developers work closely with other developers, product managers, designers, business analysts and testers to create, maintain and modify systems to meet the demands of the business and their stakeholders. What You'll do. If you get a thrill from problem solving - and aren't easily disheartened when things don't work - software development is the career for you. * Help our clients to champion software excellence and improve delivery and service * Embrace agile best practices and Continuous Delivery * Support software development projects, creating new features, while also maintaining high standards for code quality * Test your creativity daily as you experiment and explore different approaches to problem solving * Collaborate across departments with developers, product managers, business analysts, and tests Why work for us.
Senior Software Engineer;Preston, Lancashire;£51790 - £65000.00 per annum + Competitive Benefits Package;JAM Recruitment Ltd;Are you an ambitious software engineer looking to progress your career, assisting the development of aircrew simulation systems, as part of a leading UK Aerospace and Defence company? Permanent Role Salary £51,791+ Dependent on experience Based in Warton Hybrid and flexible working arrangements available The Role * Define, derive and maintain requirements using DOORS. * Develop and integrate simulations modelling airborne subsystem simulations Working as part of a bigger team of likeminded individuals, striving to assist each other to reach a team goal. The Person * Experience working with any of the following languages (ADA, C, C++, C#, Java, Visual Basic) * Experience working with real time software development * Ability to engage with external stakeholders
